"","filter","col","item","Model","OR","ci","z","p","k","H","H.ci","I","I.ci","tau","tau.ci","tau2","tau2.ci","Q","Q.pval"
"120","arrest","Therapeutic","Therapeutic","Random","0.62","[0.41; 0.93]",-3,0,7,1.5,"[1;2.29]",0.56,"[0;0.81]",0.36,"[0;0.94]",0.13,"[0;0.88]",13.53,0.035
"121","arrest","age_cat","Less Than 34","Fixed","0.39","[0.34; 0.45]",-12.933,0,10,2.39,"[1.8;3.17]",0.82,"[0.69;0.9]",0.57,"[0.24;1.19]",0.33,"[0.06;1.42]",51.37,0
"122","arrest","age_cat","Less Than 34","Random","0.46","[0.29; 0.73]",-4,0,10,2.39,"[1.8;3.17]",0.82,"[0.69;0.9]",0.57,"[0.24;1.19]",0.33,"[0.06;1.42]",51.37,0
"123","arrest","age_cat","34 and Older","Fixed","0.77","[0.68; 0.88]",-3.921,0,10,1.49,"[1.04;2.12]",0.55,"[0.08;0.78]",0.37,"[0.05;0.79]",0.14,"[0;0.63]",19.89,0.019
"124","arrest","age_cat","34 and Older","Random","0.73","[0.53; 0.99]",-2,0,10,1.49,"[1.04;2.12]",0.55,"[0.08;0.78]",0.37,"[0.05;0.79]",0.14,"[0;0.63]",19.89,0.019
"125","arrest","studylength_cat","More than 6 Months","Fixed","0.80","[0.69; 0.93]",-2.872,0.004,5,1.23,"[1;2.01]",0.34,"[0;0.75]",0.34,"[0;1.51]",0.12,"[0;2.3]",6.1,0.192
"126","arrest","studylength_cat","More than 6 Months","Random","0.69","[0.45; 1.04]",-3,0,5,1.23,"[1;2.01]",0.34,"[0;0.75]",0.34,"[0;1.51]",0.12,"[0;2.3]",6.1,0.192
"127","arrest","studylength_cat","Less than 6 Months","Fixed","0.61","[0.49; 0.77]",-4.167,0,10,1.52,"[1.07;2.16]",0.57,"[0.12;0.79]",0.62,"[0.12;1.31]",0.39,"[0.01;1.73]",20.82,0.013
"128","arrest","studylength_cat","Less than 6 Months","Random","0.59","[0.37; 0.96]",-2,0,10,1.52,"[1.07;2.16]",0.57,"[0.12;0.79]",0.62,"[0.12;1.31]",0.39,"[0.01;1.73]",20.82,0.013
"129","arrest","studylength_cat2","Less than 12 Months","Fixed","0.63","[0.52; 0.78]",-4.406,0,11,1.45,"[1.03;2.04]",0.53,"[0.06;0.76]",0.59,"[0.06;1.16]",0.34,"[0;1.35]",21.07,0.021
"130","arrest","studylength_cat2","Less than 12 Months","Random","0.61","[0.40; 0.92]",-3,0,11,1.45,"[1.03;2.04]",0.53,"[0.06;0.76]",0.59,"[0.06;1.16]",0.34,"[0;1.35]",21.07,0.021
"131","arrest","studylength_cat2","More than 12 Months","Fixed","0.81","[0.69; 0.96]",-2.49,0.013,4,1.39,"[1;2.41]",0.48,"[0;0.83]",0.41,"[0;2.36]",0.17,"[0;5.56]",5.77,0.123
"132","arrest","studylength_cat2","More than 12 Months","Random","0.66","[0.34; 1.30]",-2,0,4,1.39,"[1;2.41]",0.48,"[0;0.83]",0.41,"[0;2.36]",0.17,"[0;5.56]",5.77,0.123
"133","arrest","Diversion","diversion","Fixed","0.30","[0.15;  0.57]",-3.629,0,2,1.22,"[NA;NA]",0.33,"[NA;NA]",0.38,"[NA;NA]",0.15,"[NA;NA]",1.48,0.223
"134","arrest","Diversion","diversion","Random","0.30","[0.00; 57.68]",-3,0,2,1.22,"[NA;NA]",0.33,"[NA;NA]",0.38,"[NA;NA]",0.15,"[NA;NA]",1.48,0.223
"135","arrest","Diversion","prison","Fixed","0.58","[0.53; 0.63]",-11.543,0,21,2.45,"[2.03;2.97]",0.83,"[0.76;0.89]",0.49,"[0.24;0.72]",0.24,"[0.06;0.52]",120.35,0
"136","arrest","Diversion","prison","Random","0.61","[0.48; 0.77]",-4,0,21,2.45,"[2.03;2.97]",0.83,"[0.76;0.89]",0.49,"[0.24;0.72]",0.24,"[0.06;0.52]",120.35,0
"137","new_conv","location_Simon","institution","Fixed","0.84","[0.67; 1.04]",-1.615,0.106,7,2.03,"[1.4;2.95]",0.76,"[0.49;0.89]",0.58,"[0.26;1.41]",0.33,"[0.07;2]",24.72,0
"138","new_conv","location_Simon","institution","Random","0.88","[0.48; 1.60]",-1,1,7,2.03,"[1.4;2.95]",0.76,"[0.49;0.89]",0.58,"[0.26;1.41]",0.33,"[0.07;2]",24.72,0
"139","new_conv","location_Simon","community","Fixed","1.28","[1.08;     1.53]",2.792,0.005,3,3.43,"[2.14;5.49]",0.91,"[0.78;0.97]",0.72,"[0.27;5.25]",0.52,"[0.07;27.55]",23.51,0
"140","new_conv","location_Simon","community","Random","1.09","[0.15;     7.81]",0,1,3,3.43,"[2.14;5.49]",0.91,"[0.78;0.97]",0.72,"[0.27;5.25]",0.52,"[0.07;27.55]",23.51,0
"141","new_conv","location_Simon","both","Fixed","0.48","[0.20; 1.15]",-1.646,0.1,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"142","new_conv","location_Simon","both","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"143","new_conv","Pathway1","institution","Fixed","0.84","[0.67; 1.04]",-1.615,0.106,7,2.03,"[1.4;2.95]",0.76,"[0.49;0.89]",0.58,"[0.26;1.41]",0.33,"[0.07;2]",24.72,0
"144","new_conv","Pathway1","institution","Random","0.88","[0.48; 1.60]",-1,1,7,2.03,"[1.4;2.95]",0.76,"[0.49;0.89]",0.58,"[0.26;1.41]",0.33,"[0.07;2]",24.72,0
"145","new_conv","Pathway1","community","Fixed","1.28","[1.08;     1.53]",2.792,0.005,3,3.43,"[2.14;5.49]",0.91,"[0.78;0.97]",0.72,"[0.27;5.25]",0.52,"[0.07;27.55]",23.51,0
"146","new_conv","Pathway1","community","Random","1.09","[0.15;     7.81]",0,1,3,3.43,"[2.14;5.49]",0.91,"[0.78;0.97]",0.72,"[0.27;5.25]",0.52,"[0.07;27.55]",23.51,0
"147","new_conv","Pathway1","both","Fixed","0.48","[0.20; 1.15]",-1.646,0.1,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"148","new_conv","Pathway1","both","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"149","new_conv","Gendered","No","Fixed","1.91","[1.53; 2.38]",5.781,0,4,1.22,"[1;2.05]",0.33,"[0;0.76]",0.18,"[0;0.94]",0.03,"[0;0.89]",4.46,0.216
"150","new_conv","Gendered","No","Random","1.85","[1.18; 2.89]",4,0,4,1.22,"[1;2.05]",0.33,"[0;0.76]",0.18,"[0;0.94]",0.03,"[0;0.89]",4.46,0.216
"151","new_conv","Gendered","Yes","Fixed","0.56","[0.42; 0.75]",-3.848,0,5,1,"[1;2.19]",0,"[0;0.79]",0.07,"[0;0.35]",0.01,"[0;0.12]",1.08,0.897
"152","new_conv","Gendered","Yes","Random","0.56","[0.45; 0.70]",-7,0,5,1,"[1;2.19]",0,"[0;0.79]",0.07,"[0;0.35]",0.01,"[0;0.12]",1.08,0.897
"153","new_conv","Gendered","Partially","Fixed","0.88","[0.71;   1.08]",-1.239,0.215,2,2.48,"[1.22;5.04]",0.84,"[0.33;0.96]",0.51,"[NA;NA]",0.26,"[NA;NA]",6.14,0.013
"154","new_conv","Gendered","Partially","Random","0.67","[0.00; 130.80]",-1,1,2,2.48,"[1.22;5.04]",0.84,"[0.33;0.96]",0.51,"[NA;NA]",0.26,"[NA;NA]",6.14,0.013
"155","new_conv","focus_Simon","Cognitive Skills","Fixed","1.58","[1.30; 1.93]",4.527,0,5,2.18,"[1.41;3.36]",0.79,"[0.5;0.91]",0.44,"[0.18;1.42]",0.19,"[0.03;2.01]",19,0.001
"156","new_conv","focus_Simon","Cognitive Skills","Random","1.49","[0.79; 2.80]",2,0,5,2.18,"[1.41;3.36]",0.79,"[0.5;0.91]",0.44,"[0.18;1.42]",0.19,"[0.03;2.01]",19,0.001
"157","new_conv","focus_Simon","Complex Needs","Fixed","0.90","[0.73;   1.12]",-0.956,0.339,3,1.44,"[1;2.68]",0.52,"[0;0.86]",0.34,"[0;2.8]",0.11,"[0;7.86]",4.15,0.126
"158","new_conv","focus_Simon","Complex Needs","Random","0.71","[0.23;   2.22]",-1,0,3,1.44,"[1;2.68]",0.52,"[0;0.86]",0.34,"[0;2.8]",0.11,"[0;7.86]",4.15,0.126
"159","new_conv","focus_Simon","Substance Use","Fixed","0.47","[0.32; 0.70]",-3.772,0,2,1,"[NA;NA]",0,"[NA;NA]",0.05,"[NA;NA]",0,"[NA;NA]",0.25,0.619
"160","new_conv","focus_Simon","Substance Use","Random","0.47","[0.14; 1.66]",-8,0,2,1,"[NA;NA]",0,"[NA;NA]",0.05,"[NA;NA]",0,"[NA;NA]",0.25,0.619
"161","new_conv","focus_Simon","Parenting","Fixed","0.57","[0.23; 1.41]",-1.227,0.22,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"162","new_conv","focus_Simon","Parenting","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"163","new_conv","approach","Group","Fixed","0.91","[0.78; 1.07]",-1.102,0.27,8,1.92,"[1.34;2.74]",0.73,"[0.44;0.87]",0.57,"[0.25;1.3]",0.32,"[0.06;1.68]",25.72,0.001
"164","new_conv","approach","Group","Random","0.87","[0.51; 1.49]",-1,1,8,1.92,"[1.34;2.74]",0.73,"[0.44;0.87]",0.57,"[0.25;1.3]",0.32,"[0.06;1.68]",25.72,0.001
"165","new_conv","approach","Individual","Fixed","0.68","[0.42; 1.10]",-1.583,0.113,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"166","new_conv","approach","Individual","Random","","",-2,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"167","new_conv","approach","unknown","Fixed","1.89","[1.44;     2.50]",4.519,0,2,3.27,"[1.72;6.2]",0.91,"[0.66;0.97]",1,"[NA;NA]",1.01,"[NA;NA]",10.68,0.001
"168","new_conv","approach","unknown","Random","1.10","[0.00; 19590.82]",0,1,2,3.27,"[1.72;6.2]",0.91,"[0.66;0.97]",1,"[NA;NA]",1.01,"[NA;NA]",10.68,0.001
"169","new_conv","Therapeutic","Not Therapeutic","Fixed","1.30","[1.12; 1.51]",3.357,0.001,7,2.22,"[1.55;3.17]",0.8,"[0.59;0.9]",0.54,"[0.2;1.39]",0.29,"[0.04;1.93]",29.59,0
"170","new_conv","Therapeutic","Not Therapeutic","Random","1.25","[0.71; 2.18]",1,0,7,2.22,"[1.55;3.17]",0.8,"[0.59;0.9]",0.54,"[0.2;1.39]",0.29,"[0.04;1.93]",29.59,0
"171","new_conv","Therapeutic","Therapeutic","Fixed","0.54","[0.40; 0.71]",-4.266,0,4,1,"[1;2.56]",0,"[0;0.85]",0.11,"[0;0.7]",0.01,"[0;0.49]",1.59,0.663
"172","new_conv","Therapeutic","Therapeutic","Random","0.53","[0.38; 0.75]",-6,0,4,1,"[1;2.56]",0,"[0;0.85]",0.11,"[0;0.7]",0.01,"[0;0.49]",1.59,0.663
"173","new_conv","age_cat","Less Than 34","Fixed","1.19","[1.01;  1.40]",2.045,0.041,4,3.09,"[2.04;4.68]",0.9,"[0.76;0.95]",0.55,"[0.26;2.26]",0.3,"[0.07;5.13]",28.68,0
"174","new_conv","age_cat","Less Than 34","Random","1.02","[0.39;  2.69]",0,1,4,3.09,"[2.04;4.68]",0.9,"[0.76;0.95]",0.55,"[0.26;2.26]",0.3,"[0.07;5.13]",28.68,0
"175","new_conv","age_cat","34 and Older","Fixed","0.47","[0.33; 0.68]",-4.115,0,3,1,"[1;3.1]",0,"[0;0.9]",0.03,"[0;0.57]",0,"[0;0.33]",0.25,0.884
"176","new_conv","age_cat","34 and Older","Random","0.47","[0.36; 0.62]",-12,0,3,1,"[1;3.1]",0,"[0;0.9]",0.03,"[0;0.57]",0,"[0;0.33]",0.25,0.884
"177","new_conv","studylength_cat","Less than 6 Months","Fixed","0.45","[0.28;  0.73]",-3.307,0.001,3,1,"[1;3.1]",0,"[0;0.9]",0.05,"[0;0.98]",0,"[0;0.97]",0.31,0.858
"178","new_conv","studylength_cat","Less than 6 Months","Random","0.45","[0.30;  0.68]",-8,0,3,1,"[1;3.1]",0,"[0;0.9]",0.05,"[0;0.98]",0,"[0;0.97]",0.31,0.858
"179","new_conv","studylength_cat","More than 6 Months","Fixed","0.59","[0.42; 0.83]",-2.984,0.003,2,1,"[NA;NA]",0,"[NA;NA]",0.1,"[NA;NA]",0.01,"[NA;NA]",0.62,0.433
"180","new_conv","studylength_cat","More than 6 Months","Random","0.59","[0.10; 3.44]",-4,0,2,1,"[NA;NA]",0,"[NA;NA]",0.1,"[NA;NA]",0.01,"[NA;NA]",0.62,0.433
"181","new_conv","studylength_cat2","Less than 12 Months","Fixed","0.54","[0.41; 0.71]",-4.363,0,5,1,"[1;2.19]",0,"[0;0.79]",0.1,"[0;0.47]",0.01,"[0;0.23]",1.72,0.788
"182","new_conv","studylength_cat2","Less than 12 Months","Random","0.54","[0.41; 0.69]",-7,0,5,1,"[1;2.19]",0,"[0;0.79]",0.1,"[0;0.47]",0.01,"[0;0.23]",1.72,0.788
"183","new_conv","Diversion","prison","Fixed","1.06","[0.93; 1.21]",0.87,0.384,11,2.44,"[1.87;3.19]",0.83,"[0.71;0.9]",0.58,"[0.33;1.11]",0.34,"[0.11;1.23]",59.67,0
"184","new_conv","Diversion","prison","Random","0.90","[0.58; 1.40]",-1,1,11,2.44,"[1.87;3.19]",0.83,"[0.71;0.9]",0.58,"[0.33;1.11]",0.34,"[0.11;1.23]",59.67,0
"185","rtj","location_Simon","institution","Fixed","0.57","[0.49; 0.66]",-7.272,0,10,2.03,"[1.49;2.76]",0.76,"[0.55;0.87]",0.44,"[0.2;0.91]",0.19,"[0.04;0.82]",37,0
"186","rtj","location_Simon","institution","Random","0.43","[0.30; 0.63]",-5,0,10,2.03,"[1.49;2.76]",0.76,"[0.55;0.87]",0.44,"[0.2;0.91]",0.19,"[0.04;0.82]",37,0
"187","rtj","location_Simon","community","Fixed","0.76","[0.62; 0.92]",-2.741,0.006,5,1.76,"[1.09;2.83]",0.68,"[0.16;0.87]",0.48,"[0.09;1.66]",0.23,"[0.01;2.77]",12.37,0.015
"188","rtj","location_Simon","community","Random","0.52","[0.25; 1.09]",-2,0,5,1.76,"[1.09;2.83]",0.68,"[0.16;0.87]",0.48,"[0.09;1.66]",0.23,"[0.01;2.77]",12.37,0.015
"189","rtj","location_Simon","both","Fixed","0.79","[0.55;  1.15]",-1.244,0.213,5,2.35,"[1.54;3.57]",0.82,"[0.58;0.92]",1.06,"[0.48;3.38]",1.13,"[0.23;11.41]",22.02,0
"190","rtj","location_Simon","both","Random","0.64","[0.13;  3.10]",-1,0,5,2.35,"[1.54;3.57]",0.82,"[0.58;0.92]",1.06,"[0.48;3.38]",1.13,"[0.23;11.41]",22.02,0
"191","rtj","Pathway1","institution","Fixed","0.58","[0.50; 0.67]",-7.113,0,11,1.99,"[1.48;2.68]",0.75,"[0.54;0.86]",0.52,"[0.23;1.03]",0.27,"[0.05;1.07]",39.75,0
"192","rtj","Pathway1","institution","Random","0.46","[0.31; 0.68]",-4,0,11,1.99,"[1.48;2.68]",0.75,"[0.54;0.86]",0.52,"[0.23;1.03]",0.27,"[0.05;1.07]",39.75,0
"193","rtj","Pathway1","community","Fixed","0.82","[0.66;   1.02]",-1.763,0.078,3,1.32,"[1;2.39]",0.42,"[0;0.83]",0.36,"[0;3.13]",0.13,"[0;9.79]",3.46,0.177
"194","rtj","Pathway1","community","Random","0.67","[0.21;   2.16]",-1,0,3,1.32,"[1;2.39]",0.42,"[0;0.83]",0.36,"[0;3.13]",0.13,"[0;9.79]",3.46,0.177
"195","rtj","Pathway1","diversion","Fixed","0.44","[0.26;   0.75]",-2.984,0.003,2,1.93,"[1;4.08]",0.73,"[0;0.94]",0.65,"[NA;NA]",0.42,"[NA;NA]",3.74,0.053
"196","rtj","Pathway1","diversion","Random","0.37","[0.00; 475.02]",-2,0,2,1.93,"[1;4.08]",0.73,"[0;0.94]",0.65,"[NA;NA]",0.42,"[NA;NA]",3.74,0.053
"197","rtj","Pathway1","both","Fixed","0.73","[0.49;   1.09]",-1.557,0.12,4,2.69,"[1.73;4.2]",0.86,"[0.66;0.94]",1.14,"[0.52;4.62]",1.29,"[0.27;21.32]",21.76,0
"198","rtj","Pathway1","both","Random","0.50","[0.06;   4.41]",-1,0,4,2.69,"[1.73;4.2]",0.86,"[0.66;0.94]",1.14,"[0.52;4.62]",1.29,"[0.27;21.32]",21.76,0
"199","rtj","Gendered","Yes","Fixed","0.33","[0.24; 0.44]",-7.222,0,9,1.46,"[1;2.13]",0.53,"[0.01;0.78]",0.52,"[0;1.16]",0.27,"[0;1.33]",17.12,0.029
"200","rtj","Gendered","Yes","Random","0.30","[0.18; 0.51]",-5,0,9,1.46,"[1;2.13]",0.53,"[0.01;0.78]",0.52,"[0;1.16]",0.27,"[0;1.33]",17.12,0.029
"201","rtj","Gendered","Partially","Fixed","0.40","[0.24; 0.64]",-3.771,0,2,1,"[NA;NA]",0,"[NA;NA]",0.04,"[NA;NA]",0,"[NA;NA]",0.17,0.679
"202","rtj","Gendered","Partially","Random","0.39","[0.11; 1.43]",-9,0,2,1,"[NA;NA]",0,"[NA;NA]",0.04,"[NA;NA]",0,"[NA;NA]",0.17,0.679
"203","rtj","Gendered","No","Fixed","0.76","[0.67; 0.87]",-4.095,0,9,2.21,"[1.61;3.02]",0.79,"[0.62;0.89]",0.51,"[0.27;1.08]",0.26,"[0.07;1.17]",38.93,0
"204","rtj","Gendered","No","Random","0.72","[0.45; 1.14]",-2,0,9,2.21,"[1.61;3.02]",0.79,"[0.62;0.89]",0.51,"[0.27;1.08]",0.26,"[0.07;1.17]",38.93,0
"205","rtj","focus_Simon","Parenting","Fixed","0.20","[0.08; 0.50]",-3.505,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"206","rtj","focus_Simon","Parenting","Random","","",-4,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"207","rtj","focus_Simon","Cognitive Skills","Fixed","0.83","[0.67;   1.02]",-1.756,0.079,3,1.27,"[1;2.27]",0.38,"[0;0.81]",0.38,"[0;3.36]",0.14,"[0;11.31]",3.23,0.199
"208","rtj","focus_Simon","Cognitive Skills","Random","0.71","[0.23;   2.18]",-1,0,3,1.27,"[1;2.27]",0.38,"[0;0.81]",0.38,"[0;3.36]",0.14,"[0;11.31]",3.23,0.199
"209","rtj","focus_Simon","Substance Use","Fixed","0.42","[0.35; 0.51]",-8.899,0,11,1.51,"[1.08;2.12]",0.56,"[0.14;0.78]",0.57,"[0.12;1.15]",0.33,"[0.02;1.33]",22.9,0.011
"210","rtj","focus_Simon","Substance Use","Random","0.40","[0.26; 0.63]",-5,0,11,1.51,"[1.08;2.12]",0.56,"[0.14;0.78]",0.57,"[0.12;1.15]",0.33,"[0.02;1.33]",22.9,0.011
"211","rtj","focus_Simon","Complex Needs","Fixed","0.93","[0.62;  1.40]",-0.33,0.742,4,2.43,"[1.52;3.88]",0.83,"[0.57;0.93]",0.86,"[0.35;3.65]",0.74,"[0.12;13.31]",17.67,0.001
"212","rtj","focus_Simon","Complex Needs","Random","0.57","[0.10;  3.15]",-1,0,4,2.43,"[1.52;3.88]",0.83,"[0.57;0.93]",0.86,"[0.35;3.65]",0.74,"[0.12;13.31]",17.67,0.001
"213","rtj","focus_Simon","Employment","Fixed","0.91","[0.71; 1.16]",-0.756,0.45,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"214","rtj","focus_Simon","Employment","Random","","",-1,0,1,NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",NA,"[NA;NA]",0,NA
"215","rtj","approach","unknown","Fixed","0.95","[0.62;        1.45]",-0.261,0.794,3,3.33,"[2.06;5.37]",0.91,"[0.76;0.97]",1.22,"[0.55;8.29]",1.5,"[0.3;68.71]",22.13,0
"216","rtj","approach","unknown","Random","0.46","[0.02;       13.41]",-1,0,3,3.33,"[2.06;5.37]",0.91,"[0.76;0.97]",1.22,"[0.55;8.29]",1.5,"[0.3;68.71]",22.13,0
"217","rtj","approach","Individual","Fixed","0.53","[0.33;    0.87]",-2.53,0.011,3,1.67,"[1;3.12]",0.64,"[0;0.9]",0.59,"[0;4.62]",0.35,"[0;21.36]",5.57,0.062
"218","rtj","approach","Individual","Random","0.48","[0.08;    2.99]",-2,0,3,1.67,"[1;3.12]",0.64,"[0;0.9]",0.59,"[0;4.62]",0.35,"[0;21.36]",5.57,0.062
"219","rtj","approach","Group","Fixed","0.63","[0.56; 0.71]",-7.291,0,14,1.99,"[1.53;2.59]",0.75,"[0.57;0.85]",0.53,"[0.25;0.95]",0.28,"[0.06;0.91]",51.45,0
"220","rtj","approach","Group","Random","0.48","[0.33; 0.68]",-4,0,14,1.99,"[1.53;2.59]",0.75,"[0.57;0.85]",0.53,"[0.25;0.95]",0.28,"[0.06;0.91]",51.45,0
"221","rtj","Therapeutic","unknown","Fixed","0.20","[0.09; 0.43]",-4.07,0,2,1,"[NA;NA]",0,"[NA;NA]",0,"[NA;NA]",0,"[NA;NA]",0.01,0.927
"222","rtj","Therapeutic","unknown","Random","0.20","[0.13; 0.32]",-45,0,2,1,"[NA;NA]",0,"[NA;NA]",0,"[NA;NA]",0,"[NA;NA]",0.01,0.927
"223","rtj","Therapeutic","Therapeutic","Fixed","0.48","[0.38; 0.60]",-6.39,0,6,1.3,"[1;2.07]",0.41,"[0;0.77]",0.31,"[0;0.96]",0.09,"[0;0.92]",8.46,0.132
"224","rtj","Therapeutic","Therapeutic","Random","0.46","[0.30; 0.71]",-5,0,6,1.3,"[1;2.07]",0.41,"[0;0.77]",0.31,"[0;0.96]",0.09,"[0;0.92]",8.46,0.132
"225","rtj","Therapeutic","Not Therapeutic","Fixed","0.75","[0.65; 0.85]",-4.224,0,12,2.17,"[1.66;2.85]",0.79,"[0.64;0.88]",0.73,"[0.41;1.36]",0.54,"[0.17;1.84]",51.99,0
"226","rtj","Therapeutic","Not Therapeutic","Random","0.55","[0.32; 0.92]",-3,0,12,2.17,"[1.66;2.85]",0.79,"[0.64;0.88]",0.73,"[0.41;1.36]",0.54,"[0.17;1.84]",51.99,0
"227","rtj","age_cat","Less Than 34","Fixed","0.83","[0.69; 1.00]",-1.976,0.048,7,2.1,"[1.46;3.04]",0.77,"[0.53;0.89]",0.95,"[0.44;2.33]",0.9,"[0.19;5.42]",26.58,0
"228","rtj","age_cat","Less Than 34","Random","0.64","[0.24; 1.71]",-1,0,7,2.1,"[1.46;3.04]",0.77,"[0.53;0.89]",0.95,"[0.44;2.33]",0.9,"[0.19;5.42]",26.58,0
"229","rtj","age_cat","34 and Older","Fixed","0.57","[0.49; 0.66]",-7.308,0,11,1.85,"[1.36;2.51]",0.71,"[0.46;0.84]",0.36,"[0.16;0.72]",0.13,"[0.02;0.52]",34.15,0
"230","rtj","age_cat","34 and Older","Random","0.45","[0.33; 0.62]",-6,0,11,1.85,"[1.36;2.51]",0.71,"[0.46;0.84]",0.36,"[0.16;0.72]",0.13,"[0.02;0.52]",34.15,0
"231","rtj","studylength_cat","More than 6 Months","Fixed","0.90","[0.73; 1.10]",-1.03,0.303,6,2.12,"[1.43;3.16]",0.78,"[0.51;0.9]",0.78,"[0.34;2.16]",0.61,"[0.11;4.66]",22.53,0
"232","rtj","studylength_cat","More than 6 Months","Random","0.64","[0.25; 1.64]",-1,0,6,2.12,"[1.43;3.16]",0.78,"[0.51;0.9]",0.78,"[0.34;2.16]",0.61,"[0.11;4.66]",22.53,0
"233","rtj","studylength_cat","Less than 6 Months","Fixed","0.70","[0.58; 0.84]",-3.775,0,8,1.82,"[1.26;2.63]",0.7,"[0.37;0.86]",0.53,"[0.18;1.26]",0.28,"[0.03;1.59]",23.24,0.002
"234","rtj","studylength_cat","Less than 6 Months","Random","0.48","[0.28; 0.85]",-3,0,8,1.82,"[1.26;2.63]",0.7,"[0.37;0.86]",0.53,"[0.18;1.26]",0.28,"[0.03;1.59]",23.24,0.002
"235","rtj","studylength_cat2","More than 12 Months","Fixed","0.91","[0.74;  1.13]",-0.862,0.388,5,2.37,"[1.56;3.59]",0.82,"[0.59;0.92]",0.88,"[0.4;2.81]",0.77,"[0.16;7.92]",22.38,0
